CustomerID,Lookalikes
C0001,"[('C0048', 0.9430113822024848), ('C0190', 0.9043524070584134), ('C0181', 0.8604535414970385)]"
C0002,"[('C0088', 0.992653988273535), ('C0092', 0.9354717841876913), ('C0106', 0.9128115332945773)]"
C0003,"[('C0052', 0.9191981132314003), ('C0025', 0.8327508663230827), ('C0158', 0.8075660362814764)]"
C0004,"[('C0169', 0.980271934704057), ('C0165', 0.9722075246395671), ('C0082', 0.9266841401614279)]"
C0005,"[('C0186', 0.993371250274052), ('C0140', 0.9802782188651978), ('C0146', 0.9310681923485936)]"
C0006,"[('C0187', 0.9854786287526796), ('C0168', 0.955264425885562), ('C0171', 0.9061160310044601)]"
C0007,"[('C0140', 0.8901442000178618), ('C0186', 0.8717369321236584), ('C0005', 0.8382322313733039)]"
C0008,"[('C0065', 0.84998286628516), ('C0059', 0.7859130163317796), ('C0113', 0.7653338245539693)]"
C0009,"[('C0198', 0.9989885857351463), ('C0103', 0.9332376165491817), ('C0061', 0.8888704772665182)]"
C0010,"[('C0111', 0.9167406175011905), ('C0061', 0.8619853641398727), ('C0103', 0.8029460703379572)]"
C0011,"[('C0137', 0.9748699739227992), ('C0147', 0.9662904812211114), ('C0118', 0.9544091636708223)]"
C0012,"[('C0113', 0.9561269084428765), ('C0195', 0.9414379942558528), ('C0104', 0.9114075902765074)]"
C0013,"[('C0099', 0.9607251738891167), ('C0108', 0.9366382917659959), ('C0082', 0.8212818458586545)]"
C0014,"[('C0110', 0.9498265678270625), ('C0080', 0.9440313856156779), ('C0097', 0.9360524300964174)]"
C0015,"[('C0036', 0.9284544460420309), ('C0094', 0.9044763900364102), ('C0033', 0.8117510785534923)]"
C0016,"[('C0183', 0.9771406136469445), ('C0067', 0.8792606118485415), ('C0042', 0.8428237658629039)]"
C0017,"[('C0041', 0.9690937653498751), ('C0075', 0.9611782455766527), ('C0057', 0.9232556834672196)]"
C0018,"[('C0046', 0.9092940156402299), ('C0117', 0.8591979526255678), ('C0024', 0.837152983670897)]"
C0019,"[('C0132', 0.9518973228320129), ('C0167', 0.9090312070475803), ('C0070', 0.9036967159011677)]"
C0020,"[('C0058', 0.948140636532881), ('C0144', 0.9094339800974957), ('C0014', 0.9043602753635881)]"
